current_filename,full_path,old_filename,proposed_date,current_exif_date,directory,dir_year,file_modified,confidence,reasoning,date_differs,update_reason
IMG_20230101_000125.heic,/Volumes/photo-1/2023/2023/IMG_20230101_000125.heic,IMG20230101_000125.heic,2023-01-01 00:01:25,NONE,2023/2023,2023,2023-01-01T00:01:25.718000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230101_000128.heic,/Volumes/photo-1/2023/2023/IMG_20230101_000128.heic,IMG20230101_000128.heic,2023-01-01 00:01:28,NONE,2023/2023,2023,2023-01-01T00:01:28.934000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230101_000132.heic,/Volumes/photo-1/2023/2023/IMG_20230101_000132.heic,IMG20230101_000132.heic,2023-01-01 00:01:32,NONE,2023/2023,2023,2023-01-01T00:01:32.386000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230101_000151.heic,/Volumes/photo-1/2023/2023/IMG_20230101_000151.heic,IMG20230101_000151.heic,2023-01-01 00:01:51,NONE,2023/2023,2023,2023-01-01T00:01:51.398000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230101_000156.heic,/Volumes/photo-1/2023/2023/IMG_20230101_000156.heic,IMG20230101_000156.heic,2023-01-01 00:01:56,NONE,2023/2023,2023,2023-01-01T00:01:56.268000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230101_000554.heic,/Volumes/photo-1/2023/2023/IMG_20230101_000554.heic,IMG20230101_000554.heic,2023-01-01 00:05:54,NONE,2023/2023,2023,2023-01-01T00:05:54,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230101_000555.heic,/Volumes/photo-1/2023/2023/IMG_20230101_000555.heic,IMG20230101_000555.heic,2023-01-01 00:05:55,NONE,2023/2023,2023,2023-01-01T00:05:55.031000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230101_000557.heic,/Volumes/photo-1/2023/2023/IMG_20230101_000557.heic,IMG20230101_000557.heic,2023-01-01 00:05:57,NONE,2023/2023,2023,2023-01-01T00:05:57.752000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230101_000624.heic,/Volumes/photo-1/2023/2023/IMG_20230101_000624.heic,IMG20230101_000624.heic,2023-01-01 00:06:24,NONE,2023/2023,2023,2023-01-01T00:06:24.653000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230101_000627.heic,/Volumes/photo-1/2023/2023/IMG_20230101_000627.heic,IMG20230101_000627.heic,2023-01-01 00:06:27,NONE,2023/2023,2023,2023-01-01T00:06:27.838000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230101_000628.heic,/Volumes/photo-1/2023/2023/IMG_20230101_000628.heic,IMG20230101_000628.heic,2023-01-01 00:06:28,NONE,2023/2023,2023,2023-01-01T00:06:28.935000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230101_000629.heic,/Volumes/photo-1/2023/2023/IMG_20230101_000629.heic,IMG20230101_000629.heic,2023-01-01 00:06:29,NONE,2023/2023,2023,2023-01-01T00:06:29.809000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230101_103243.heic,/Volumes/photo-1/2023/2023/IMG_20230101_103243.heic,IMG20230101_103243.heic,2023-01-01 10:32:43,NONE,2023/2023,2023,2023-01-01T10:32:43.476000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230101_103250.heic,/Volumes/photo-1/2023/2023/IMG_20230101_103250.heic,IMG20230101_103250.heic,2023-01-01 10:32:50,NONE,2023/2023,2023,2023-01-01T10:32:50.320000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230101_103925.heic,/Volumes/photo-1/2023/2023/IMG_20230101_103925.heic,IMG20230101_103925.heic,2023-01-01 10:39:25,NONE,2023/2023,2023,2023-01-01T10:39:25.911000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
